2026-04-27 00:12:51 - backtest_project_426.backtest_main - INFO - ==================================================
2026-04-27 00:12:51 - backtest_project_426.backtest_main - INFO - 开始回测程序
2026-04-27 00:12:52 - backtest_project_426.backtest_main - INFO - 初始资金: 100000.0
2026-04-27 00:12:52 - backtest_project_426.backtest_main - INFO - 回测期间: 2025-04-15 到 2026-04-15
2026-04-27 00:12:52 - backtest_project_426.backtest_main - INFO - ==================================================
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 策略初始化完成: fast_period=6, slow_period=20
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3963.68, 快线: 3932.01, 慢线: 3899.83
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3965.28, 快线: 3944.48, 慢线: 3902.39
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3965.12, 快线: 3952.44, 慢线: 3905.76
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3968.84, 快线: 3960.58, 慢线: 3910.30
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 4023.42, 快线: 3974.33, 慢线: 3917.68
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 4083.67, 快线: 3995.00, 慢线: 3926.73
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 4085.77, 快线: 4015.35, 慢线: 3934.81
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 4082.98, 快线: 4034.97, 慢线: 3943.48
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 4120.43, 快线: 4060.85, 慢线: 3954.48
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 4165.29, 快线: 4093.59, 慢线: 3969.08
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 4138.76, 快线: 4112.82, 慢线: 3981.55
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 4126.09, 快线: 4119.89, 慢线: 3994.46
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 4112.60, 快线: 4124.36, 慢线: 4008.85
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 4101.91, 快线: 4127.51, 慢线: 4020.43
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 4114.00, 快线: 4126.44, 慢线: 4032.31
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 4113.65, 快线: 4117.84, 慢线: 4043.47
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 4116.94, 快线: 4114.20, 慢线: 4053.45
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 4122.58, 快线: 4113.61, 慢线: 4063.58
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 4136.16, 快线: 4117.54, 慢线: 4073.34
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 4132.61, 快线: 4122.66, 慢线: 4081.99
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 4139.90, 快线: 4126.97, 慢线: 4090.80
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 4151.24, 快线: 4133.24, 慢线: 4100.10
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 4157.98, 快线: 4140.08, 慢线: 4109.74
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 4117.95, 快线: 4139.31, 慢线: 4117.20
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 4015.75, 快线: 4119.24, 慢线: 4116.81
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 4067.74, 快线: 4108.43, 慢线: 4116.02
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 卖出执行，价格：4062.68，成本：39416.58，佣金 12.19
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 利润记录，毛利润 1210.22，净利润 1186.21
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 4102.20, 快线: 4102.14, 慢线: 4116.84
